verb,ich_prsens,du_prsens,er_prsens,wir_prsens,ihr_prsens,sie_prsens,ich_prteritum,du_prteritum,er_prteritum,wir_prteritum,ihr_prteritum,sie_prteritum,ich_perfekt,du_perfekt,er_perfekt,wir_perfekt,ihr_perfekt,sie_perfekt,ich_plusquamperfekt,du_plusquamperfekt,er_plusquamperfekt,wir_plusquamperfekt,ihr_plusquamperfekt,sie_plusquamperfekt,ich_futuri,du_futuri,er_futuri,wir_futuri,ihr_futuri,sie_futuri,ich_futurii,du_futurii,er_futurii,wir_futurii,ihr_futurii,sie_futurii,ich_konjunktivi,du_konjunktivi,er_konjunktivi,wir_konjunktivi,ihr_konjunktivi,sie_konjunktivi,ich_konjunktivii,du_konjunktivii,er_konjunktivii,wir_konjunktivii,ihr_konjunktivii,sie_konjunktivii,ich_konjunktiv_perfekt,du_konjunktiv_perfekt,er_konjunktiv_perfekt,wir_konjunktiv_perfekt,ihr_konjunktiv_perfekt,sie_konjunktiv_perfekt,ich_konjunktiv_plusquamperfekt,du_konjunktiv_plusquamperfekt,er_konjunktiv_plusquamperfekt,wir_konjunktiv_plusquamperfekt,ihr_konjunktiv_plusquamperfekt,sie_konjunktiv_plusquamperfekt,ich_konjunktiv_futur1,du_konjunktiv_futur1,er_konjunktiv_futur1,wir_konjunktiv_futur1,ihr_konjunktiv_futur1,sie_konjunktiv_futur1,ich_konjunktiv_futur2,du_konjunktiv_futur2,er_konjunktiv_futur2,wir_konjunktiv_futur2,ihr_konjunktiv_futur2,sie_konjunktiv_futur2,infinitiv1_form1,infinitiv1_form2,infinitiv2_form1,infinitiv2_form2,partizip1,partizip2,imperativ_du,imperativ_wir,imperativ_ihr,imperativ_sie
verständigen,verständige,verständigst,verständigt,verständigen,verständigt,verständigen,verständigte,verständigtest,verständigte,verständigten,verständigtet,verständigten,habe verständigt,hast verständigt,hat verständigt,haben verständigt,habt verständigt,haben verständigt,hatte verständigt,hattest verständigt,hatte verständigt,hatten verständigt,hattet verständigt,hatten verständigt,werde verständigen,wirst verständigen,wird verständigen,werden verständigen,werdet verständigen,werden verständigen,werde verständigt haben,wirst verständigt haben,wird verständigt haben,werden verständigt haben,werdet verständigt haben,werden verständigt haben,verständige,verständigest,verständige,verständigen,verständiget,verständigen,verständigte,verständigtest,verständigte,verständigten,verständigtet,verständigten,habe verständigt,habest verständigt,habe verständigt,haben verständigt,habet verständigt,haben verständigt,hätte verständigt,hättest verständigt,hätte verständigt,hätten verständigt,hättet verständigt,hätten verständigt,werde verständigen,werdest verständigen,werde verständigen,werden verständigen,werdet verständigen,werden verständigen,werde verständigt haben,werdest verständigt haben,werde verständigt haben,werden verständigt haben,werdet verständigt haben,werden verständigt haben,verständigen,zu verständigen,verständigt haben,verständigt zu haben,verständigend,verständigt,verständige du,verständigen wir,verständigt ihr,verständigen Sie
benehmen,benehme,benimmst,benimmt,benehmen,benehmt,benehmen,benahm,benahmst,benahm,benahmen,benahmt,benahmen,habe benommen,hast benommen,hat benommen,haben benommen,habt benommen,haben benommen,hatte benommen,hattest benommen,hatte benommen,hatten benommen,hattet benommen,hatten benommen,werde benehmen,wirst benehmen,wird benehmen,werden benehmen,werdet benehmen,werden benehmen,werde benommen haben,wirst benommen haben,wird benommen haben,werden benommen haben,werdet benommen haben,werden benommen haben,benehme,benehmest,benehme,benehmen,benehmet,benehmen,benähme,benähmest,benähme,benähmen,benähmet,benähmen,habe benommen,habest benommen,habe benommen,haben benommen,habet benommen,haben benommen,hätte benommen,hättest benommen,hätte benommen,hätten benommen,hättet benommen,hätten benommen,werde benehmen,werdest benehmen,werde benehmen,werden benehmen,werdet benehmen,werden benehmen,werde benommen haben,werdest benommen haben,werde benommen haben,werden benommen haben,werdet benommen haben,werden benommen haben,benehmen,zu benehmen,benommen haben,benommen zu haben,benehmend,benommen,benimm du,benehmen wir,benehmt ihr,benehmen Sie
beglaubigen,beglaubige,beglaubigst,beglaubigt,beglaubigen,beglaubigt,beglaubigen,beglaubigte,beglaubigtest,beglaubigte,beglaubigten,beglaubigtet,beglaubigten,habe beglaubigt,hast beglaubigt,hat beglaubigt,haben beglaubigt,habt beglaubigt,haben beglaubigt,hatte beglaubigt,hattest beglaubigt,hatte beglaubigt,hatten beglaubigt,hattet beglaubigt,hatten beglaubigt,werde beglaubigen,wirst beglaubigen,wird beglaubigen,werden beglaubigen,werdet beglaubigen,werden beglaubigen,werde beglaubigt haben,wirst beglaubigt haben,wird beglaubigt haben,werden beglaubigt haben,werdet beglaubigt haben,werden beglaubigt haben,beglaubige,beglaubigest,beglaubige,beglaubigen,beglaubiget,beglaubigen,beglaubigte,beglaubigtest,beglaubigte,beglaubigten,beglaubigtet,beglaubigten,habe beglaubigt,habest beglaubigt,habe beglaubigt,haben beglaubigt,habet beglaubigt,haben beglaubigt,hätte beglaubigt,hättest beglaubigt,hätte beglaubigt,hätten beglaubigt,hättet beglaubigt,hätten beglaubigt,werde beglaubigen,werdest beglaubigen,werde beglaubigen,werden beglaubigen,werdet beglaubigen,werden beglaubigen,werde beglaubigt haben,werdest beglaubigt haben,werde beglaubigt haben,werden beglaubigt haben,werdet beglaubigt haben,werden beglaubigt haben,beglaubigen,zu beglaubigen,beglaubigt haben,beglaubigt zu haben,beglaubigend,beglaubigt,beglaubige du,beglaubigen wir,beglaubigt ihr,beglaubigen Sie
abholen,hole ab,holst ab,holt ab,holen ab,holt ab,holen ab,holte ab,holtest ab,holte ab,holten ab,holtet ab,holten ab,habe abgeholt,hast abgeholt,hat abgeholt,haben abgeholt,habt abgeholt,haben abgeholt,hatte abgeholt,hattest abgeholt,hatte abgeholt,hatten abgeholt,hattet abgeholt,hatten abgeholt,werde abholen,wirst abholen,wird abholen,werden abholen,werdet abholen,werden abholen,werde abgeholt haben,wirst abgeholt haben,wird abgeholt haben,werden abgeholt haben,werdet abgeholt haben,werden abgeholt haben,hole ab,holest ab,hole ab,holen ab,holet ab,holen ab,holte ab,holtest ab,holte ab,holten ab,holtet ab,holten ab,habe abgeholt,habest abgeholt,habe abgeholt,haben abgeholt,habet abgeholt,haben abgeholt,hätte abgeholt,hättest abgeholt,hätte abgeholt,hätten abgeholt,hättet abgeholt,hätten abgeholt,werde abholen,werdest abholen,werde abholen,werden abholen,werdet abholen,werden abholen,werde abgeholt haben,werdest abgeholt haben,werde abgeholt haben,werden abgeholt haben,werdet abgeholt haben,werden abgeholt haben,abholen,abzuholen,abgeholt haben,abgeholt zu haben,abholend,abgeholt,hole du ab,holen wir ab,holt ihr ab,holen Sie ab
auspacken,packe aus,packst aus,packt aus,packen aus,packt aus,packen aus,packte aus,packtest aus,packte aus,packten aus,packtet aus,packten aus,habe ausgepackt,hast ausgepackt,hat ausgepackt,haben ausgepackt,habt ausgepackt,haben ausgepackt,hatte ausgepackt,hattest ausgepackt,hatte ausgepackt,hatten ausgepackt,hattet ausgepackt,hatten ausgepackt,werde auspacken,wirst auspacken,wird auspacken,werden auspacken,werdet auspacken,werden auspacken,werde ausgepackt haben,wirst ausgepackt haben,wird ausgepackt haben,werden ausgepackt haben,werdet ausgepackt haben,werden ausgepackt haben,packe aus,packest aus,packe aus,packen aus,packet aus,packen aus,packte aus,packtest aus,packte aus,packten aus,packtet aus,packten aus,habe ausgepackt,habest ausgepackt,habe ausgepackt,haben ausgepackt,habet ausgepackt,haben ausgepackt,hätte ausgepackt,hättest ausgepackt,hätte ausgepackt,hätten ausgepackt,hättet ausgepackt,hätten ausgepackt,werde auspacken,werdest auspacken,werde auspacken,werden auspacken,werdet auspacken,werden auspacken,werde ausgepackt haben,werdest ausgepackt haben,werde ausgepackt haben,werden ausgepackt haben,werdet ausgepackt haben,werden ausgepackt haben,auspacken,auszupacken,ausgepackt haben,ausgepackt zu haben,auspackend,ausgepackt,packe du aus,packen wir aus,packt ihr aus,packen Sie aus
schnupfen,schnupfe,schnupfst,schnupft,schnupfen,schnupft,schnupfen,schnupfte,schnupftest,schnupfte,schnupften,schnupftet,schnupften,habe geschnupft,hast geschnupft,hat geschnupft,haben geschnupft,habt geschnupft,haben geschnupft,hatte geschnupft,hattest geschnupft,hatte geschnupft,hatten geschnupft,hattet geschnupft,hatten geschnupft,werde schnupfen,wirst schnupfen,wird schnupfen,werden schnupfen,werdet schnupfen,werden schnupfen,werde geschnupft haben,wirst geschnupft haben,wird geschnupft haben,werden geschnupft haben,werdet geschnupft haben,werden geschnupft haben,schnupfe,schnupfest,schnupfe,schnupfen,schnupfet,schnupfen,schnupfte,schnupftest,schnupfte,schnupften,schnupftet,schnupften,habe geschnupft,habest geschnupft,habe geschnupft,haben geschnupft,habet geschnupft,haben geschnupft,hätte geschnupft,hättest geschnupft,hätte geschnupft,hätten geschnupft,hättet geschnupft,hätten geschnupft,werde schnupfen,werdest schnupfen,werde schnupfen,werden schnupfen,werdet schnupfen,werden schnupfen,werde geschnupft haben,werdest geschnupft haben,werde geschnupft haben,werden geschnupft haben,werdet geschnupft haben,werden geschnupft haben,schnupfen,zu schnupfen,geschnupft haben,geschnupft zu haben,schnupfend,geschnupft,schnupfe du,schnupfen wir,schnupft ihr,schnupfen Sie
befürchten,befürchte,befürchtest,befürchtet,befürchten,befürchtet,befürchten,befürchtete,befürchtetest,befürchtete,befürchteten,befürchtetet,befürchteten,habe befürchtet,hast befürchtet,hat befürchtet,haben befürchtet,habt befürchtet,haben befürchtet,hatte befürchtet,hattest befürchtet,hatte befürchtet,hatten befürchtet,hattet befürchtet,hatten befürchtet,werde befürchten,wirst befürchten,wird befürchten,werden befürchten,werdet befürchten,werden befürchten,werde befürchtet haben,wirst befürchtet haben,wird befürchtet haben,werden befürchtet haben,werdet befürchtet haben,werden befürchtet haben,befürchte,befürchtest,befürchte,befürchten,befürchtet,befürchten,befürchtete,befürchtetest,befürchtete,befürchteten,befürchtetet,befürchteten,habe befürchtet,habest befürchtet,habe befürchtet,haben befürchtet,habet befürchtet,haben befürchtet,hätte befürchtet,hättest befürchtet,hätte befürchtet,hätten befürchtet,hättet befürchtet,hätten befürchtet,werde befürchten,werdest befürchten,werde befürchten,werden befürchten,werdet befürchten,werden befürchten,werde befürchtet haben,werdest befürchtet haben,werde befürchtet haben,werden befürchtet haben,werdet befürchtet haben,werden befürchtet haben,befürchten,zu befürchten,befürchtet haben,befürchtet zu haben,befürchtend,befürchtet,befürchte du,befürchten wir,befürchtet ihr,befürchten Sie
über,lasse über,lässt über,lässt über,lassen über,lasst über,lassen über,ließ über,ließest über,ließ über,ließen über,ließet über,ließen über,habe übergelassen,hast übergelassen,hat übergelassen,haben übergelassen,habt übergelassen,haben übergelassen,hatte übergelassen,hattest übergelassen,hatte übergelassen,hatten übergelassen,hattet übergelassen,hatten übergelassen,werde überlassen,wirst überlassen,wird überlassen,werden überlassen,werdet überlassen,werden überlassen,werde übergelassen haben,wirst übergelassen haben,wird übergelassen haben,werden übergelassen haben,werdet übergelassen haben,werden übergelassen haben,lasse über,lassest über,lasse über,lassen über,lasset über,lassen über,ließe über,ließest über,ließe über,ließen über,ließet über,ließen über,habe übergelassen,habest übergelassen,habe übergelassen,haben übergelassen,habet übergelassen,haben übergelassen,hätte übergelassen,hättest übergelassen,hätte übergelassen,hätten übergelassen,hättet übergelassen,hätten übergelassen,werde überlassen,werdest überlassen,werde überlassen,werden überlassen,werdet überlassen,werden überlassen,werde übergelassen haben,werdest übergelassen haben,werde übergelassen haben,werden übergelassen haben,werdet übergelassen haben,werden übergelassen haben,überlassen,überzulassen,übergelassen haben,übergelassen zu haben,überlassend,übergelassen,lasse du über,lassen wir über,lasst ihr über,lassen Sie über
probieren,probiere,probierst,probiert,probieren,probiert,probieren,probierte,probiertest,probierte,probierten,probiertet,probierten,habe probiert,hast probiert,hat probiert,haben probiert,habt probiert,haben probiert,hatte probiert,hattest probiert,hatte probiert,hatten probiert,hattet probiert,hatten probiert,werde probieren,wirst probieren,wird probieren,werden probieren,werdet probieren,werden probieren,werde probiert haben,wirst probiert haben,wird probiert haben,werden probiert haben,werdet probiert haben,werden probiert haben,probiere,probierest,probiere,probieren,probieret,probieren,probierte,probiertest,probierte,probierten,probiertet,probierten,habe probiert,habest probiert,habe probiert,haben probiert,habet probiert,haben probiert,hätte probiert,hättest probiert,hätte probiert,hätten probiert,hättet probiert,hätten probiert,werde probieren,werdest probieren,werde probieren,werden probieren,werdet probieren,werden probieren,werde probiert haben,werdest probiert haben,werde probiert haben,werden probiert haben,werdet probiert haben,werden probiert haben,probieren,zu probieren,probiert haben,probiert zu haben,probierend,probiert,probiere du,probieren wir,probiert ihr,probieren Sie
einteilen,teile ein,teilst ein,teilt ein,teilen ein,teilt ein,teilen ein,teilte ein,teiltest ein,teilte ein,teilten ein,teiltet ein,teilten ein,habe eingeteilt,hast eingeteilt,hat eingeteilt,haben eingeteilt,habt eingeteilt,haben eingeteilt,hatte eingeteilt,hattest eingeteilt,hatte eingeteilt,hatten eingeteilt,hattet eingeteilt,hatten eingeteilt,werde einteilen,wirst einteilen,wird einteilen,werden einteilen,werdet einteilen,werden einteilen,werde eingeteilt haben,wirst eingeteilt haben,wird eingeteilt haben,werden eingeteilt haben,werdet eingeteilt haben,werden eingeteilt haben,teile ein,teilest ein,teile ein,teilen ein,teilet ein,teilen ein,teilte ein,teiltest ein,teilte ein,teilten ein,teiltet ein,teilten ein,habe eingeteilt,habest eingeteilt,habe eingeteilt,haben eingeteilt,habet eingeteilt,haben eingeteilt,hätte eingeteilt,hättest eingeteilt,hätte eingeteilt,hätten eingeteilt,hättet eingeteilt,hätten eingeteilt,werde einteilen,werdest einteilen,werde einteilen,werden einteilen,werdet einteilen,werden einteilen,werde eingeteilt haben,werdest eingeteilt haben,werde eingeteilt haben,werden eingeteilt haben,werdet eingeteilt haben,werden eingeteilt haben,einteilen,einzuteilen,eingeteilt haben,eingeteilt zu haben,einteilend,eingeteilt,teile du ein,teilen wir ein,teilt ihr ein,teilen Sie ein
verursachen,verursache,verursachst,verursacht,verursachen,verursacht,verursachen,verursachte,verursachtest,verursachte,verursachten,verursachtet,verursachten,habe verursacht,hast verursacht,hat verursacht,haben verursacht,habt verursacht,haben verursacht,hatte verursacht,hattest verursacht,hatte verursacht,hatten verursacht,hattet verursacht,hatten verursacht,werde verursachen,wirst verursachen,wird verursachen,werden verursachen,werdet verursachen,werden verursachen,werde verursacht haben,wirst verursacht haben,wird verursacht haben,werden verursacht haben,werdet verursacht haben,werden verursacht haben,verursache,verursachest,verursache,verursachen,verursachet,verursachen,verursachte,verursachtest,verursachte,verursachten,verursachtet,verursachten,habe verursacht,habest verursacht,habe verursacht,haben verursacht,habet verursacht,haben verursacht,hätte verursacht,hättest verursacht,hätte verursacht,hätten verursacht,hättet verursacht,hätten verursacht,werde verursachen,werdest verursachen,werde verursachen,werden verursachen,werdet verursachen,werden verursachen,werde verursacht haben,werdest verursacht haben,werde verursacht haben,werden verursacht haben,werdet verursacht haben,werden verursacht haben,verursachen,zu verursachen,verursacht haben,verursacht zu haben,verursachend,verursacht,verursache du,verursachen wir,verursacht ihr,verursachen Sie
stapeln,stapele,stapelst,stapelt,stapeln,stapelt,stapeln,stapelte,stapeltest,stapelte,stapelten,stapeltet,stapelten,habe gestapelt,hast gestapelt,hat gestapelt,haben gestapelt,habt gestapelt,haben gestapelt,hatte gestapelt,hattest gestapelt,hatte gestapelt,hatten gestapelt,hattet gestapelt,hatten gestapelt,werde stapeln,wirst stapeln,wird stapeln,werden stapeln,werdet stapeln,werden stapeln,werde gestapelt haben,wirst gestapelt haben,wird gestapelt haben,werden gestapelt haben,werdet gestapelt haben,werden gestapelt haben,stapele,stapelst,stapele,stapeln,stapelt,stapeln,stapelte,stapeltest,stapelte,stapelten,stapeltet,stapelten,habe gestapelt,habest gestapelt,habe gestapelt,haben gestapelt,habet gestapelt,haben gestapelt,hätte gestapelt,hättest gestapelt,hätte gestapelt,hätten gestapelt,hättet gestapelt,hätten gestapelt,werde stapeln,werdest stapeln,werde stapeln,werden stapeln,werdet stapeln,werden stapeln,werde gestapelt haben,werdest gestapelt haben,werde gestapelt haben,werden gestapelt haben,werdet gestapelt haben,werden gestapelt haben,stapeln,zu stapeln,gestapelt haben,gestapelt zu haben,stapelnd,gestapelt,stapele du,stapeln wir,stapelt ihr,stapeln Sie
treffen,treffe,triffst,trifft,treffen,trefft,treffen,traf,trafst,traf,trafen,traft,trafen,habe getroffen,hast getroffen,hat getroffen,haben getroffen,habt getroffen,haben getroffen,hatte getroffen,hattest getroffen,hatte getroffen,hatten getroffen,hattet getroffen,hatten getroffen,werde treffen,wirst treffen,wird treffen,werden treffen,werdet treffen,werden treffen,werde getroffen haben,wirst getroffen haben,wird getroffen haben,werden getroffen haben,werdet getroffen haben,werden getroffen haben,treffe,treffest,treffe,treffen,treffet,treffen,träfe,träfest,träfe,träfen,träfet,träfen,habe getroffen,habest getroffen,habe getroffen,haben getroffen,habet getroffen,haben getroffen,hätte getroffen,hättest getroffen,hätte getroffen,hätten getroffen,hättet getroffen,hätten getroffen,werde treffen,werdest treffen,werde treffen,werden treffen,werdet treffen,werden treffen,werde getroffen haben,werdest getroffen haben,werde getroffen haben,werden getroffen haben,werdet getroffen haben,werden getroffen haben,treffen,zu treffen,getroffen haben,getroffen zu haben,treffend,getroffen,triff du,treffen wir,trefft ihr,treffen Sie
über,stehe über,stehst über,steht über,stehen über,steht über,stehen über,stand über,standest über,stand über,standen über,standet über,standen über,habe übergestanden,hast übergestanden,hat übergestanden,haben übergestanden,habt übergestanden,haben übergestanden,hatte übergestanden,hattest übergestanden,hatte übergestanden,hatten übergestanden,hattet übergestanden,hatten übergestanden,werde überstehen,wirst überstehen,wird überstehen,werden überstehen,werdet überstehen,werden überstehen,werde übergestanden haben,wirst übergestanden haben,wird übergestanden haben,werden übergestanden haben,werdet übergestanden haben,werden übergestanden haben,stehe über,stehest über,stehe über,stehen über,stehet über,stehen über,stünde/stände über,stündest/ständest über,stünde/stände über,stünden/ständen über,stündet/ständet über,stünden/ständen über,habe übergestanden,habest übergestanden,habe übergestanden,haben übergestanden,habet übergestanden,haben übergestanden,hätte übergestanden,hättest übergestanden,hätte übergestanden,hätten übergestanden,hättet übergestanden,hätten übergestanden,werde überstehen,werdest überstehen,werde überstehen,werden überstehen,werdet überstehen,werden überstehen,werde übergestanden haben,werdest übergestanden haben,werde übergestanden haben,werden übergestanden haben,werdet übergestanden haben,werden übergestanden haben,überstehen,überzustehen,übergestanden haben,übergestanden zu haben,überstehend,übergestanden,stehe du über,stehen wir über,steht ihr über,stehen Sie über
impfen,impfe,impfst,impft,impfen,impft,impfen,impfte,impftest,impfte,impften,impftet,impften,habe geimpft,hast geimpft,hat geimpft,haben geimpft,habt geimpft,haben geimpft,hatte geimpft,hattest geimpft,hatte geimpft,hatten geimpft,hattet geimpft,hatten geimpft,werde impfen,wirst impfen,wird impfen,werden impfen,werdet impfen,werden impfen,werde geimpft haben,wirst geimpft haben,wird geimpft haben,werden geimpft haben,werdet geimpft haben,werden geimpft haben,impfe,impfest,impfe,impfen,impfet,impfen,impfte,impftest,impfte,impften,impftet,impften,habe geimpft,habest geimpft,habe geimpft,haben geimpft,habet geimpft,haben geimpft,hätte geimpft,hättest geimpft,hätte geimpft,hätten geimpft,hättet geimpft,hätten geimpft,werde impfen,werdest impfen,werde impfen,werden impfen,werdet impfen,werden impfen,werde geimpft haben,werdest geimpft haben,werde geimpft haben,werden geimpft haben,werdet geimpft haben,werden geimpft haben,impfen,zu impfen,geimpft haben,geimpft zu haben,impfend,geimpft,impfe du,impfen wir,impft ihr,impfen Sie
ausgehen,gehe aus,gehst aus,geht aus,gehen aus,geht aus,gehen aus,ging aus,gingst aus,ging aus,gingen aus,gingt aus,gingen aus,bin ausgegangen,bist ausgegangen,ist ausgegangen,sind ausgegangen,seid ausgegangen,sind ausgegangen,war ausgegangen,warst ausgegangen,war ausgegangen,waren ausgegangen,wart ausgegangen,waren ausgegangen,werde ausgehen,wirst ausgehen,wird ausgehen,werden ausgehen,werdet ausgehen,werden ausgehen,werde ausgegangen sein,wirst ausgegangen sein,wird ausgegangen sein,werden ausgegangen sein,werdet ausgegangen sein,werden ausgegangen sein,gehe aus,gehest aus,gehe aus,gehen aus,gehet aus,gehen aus,ginge aus,gingest aus,ginge aus,gingen aus,ginget aus,gingen aus,sei ausgegangen,seiest ausgegangen,sei ausgegangen,seien ausgegangen,seiet ausgegangen,seien ausgegangen,wäre ausgegangen,wärest ausgegangen,wäre ausgegangen,wären ausgegangen,wäret ausgegangen,wären ausgegangen,werde ausgehen,werdest ausgehen,werde ausgehen,werden ausgehen,werdet ausgehen,werden ausgehen,werde ausgegangen sein,werdest ausgegangen sein,werde ausgegangen sein,werden ausgegangen sein,werdet ausgegangen sein,werden ausgegangen sein,ausgehen,auszugehen,ausgegangen sein,ausgegangen zu sein,ausgehend,ausgegangen,gehe du aus,gehen wir aus,geht ihr aus,gehen Sie aus
kennen,kenne,kennst,kennt,kennen,kennt,kennen,kannte,kanntest,kannte,kannten,kanntet,kannten,habe gekannt,hast gekannt,hat gekannt,haben gekannt,habt gekannt,haben gekannt,hatte gekannt,hattest gekannt,hatte gekannt,hatten gekannt,hattet gekannt,hatten gekannt,werde kennen,wirst kennen,wird kennen,werden kennen,werdet kennen,werden kennen,werde gekannt haben,wirst gekannt haben,wird gekannt haben,werden gekannt haben,werdet gekannt haben,werden gekannt haben,kenne,kennest,kenne,kennen,kennet,kennen,kennte,kenntest,kennte,kennten,kenntet,kennten,habe gekannt,habest gekannt,habe gekannt,haben gekannt,habet gekannt,haben gekannt,hätte gekannt,hättest gekannt,hätte gekannt,hätten gekannt,hättet gekannt,hätten gekannt,werde kennen,werdest kennen,werde kennen,werden kennen,werdet kennen,werden kennen,werde gekannt haben,werdest gekannt haben,werde gekannt haben,werden gekannt haben,werdet gekannt haben,werden gekannt haben,kennen,zu kennen,gekannt haben,gekannt zu haben,kennend,gekannt,kenne du,kennen wir,kennt ihr,kennen Sie
abgeben,gebe ab,gibst ab,gibt ab,geben ab,gebt ab,geben ab,gab ab,gabst ab,gab ab,gaben ab,gabt ab,gaben ab,habe abgegeben,hast abgegeben,hat abgegeben,haben abgegeben,habt abgegeben,haben abgegeben,hatte abgegeben,hattest abgegeben,hatte abgegeben,hatten abgegeben,hattet abgegeben,hatten abgegeben,werde abgeben,wirst abgeben,wird abgeben,werden abgeben,werdet abgeben,werden abgeben,werde abgegeben haben,wirst abgegeben haben,wird abgegeben haben,werden abgegeben haben,werdet abgegeben haben,werden abgegeben haben,gebe ab,gebest ab,gebe ab,geben ab,gebet ab,geben ab,gäbe ab,gäbest ab,gäbe ab,gäben ab,gäbet ab,gäben ab,habe abgegeben,habest abgegeben,habe abgegeben,haben abgegeben,habet abgegeben,haben abgegeben,hätte abgegeben,hättest abgegeben,hätte abgegeben,hätten abgegeben,hättet abgegeben,hätten abgegeben,werde abgeben,werdest abgeben,werde abgeben,werden abgeben,werdet abgeben,werden abgeben,werde abgegeben haben,werdest abgegeben haben,werde abgegeben haben,werden abgegeben haben,werdet abgegeben haben,werden abgegeben haben,abgeben,abzugeben,abgegeben haben,abgegeben zu haben,abgebend,abgegeben,gib du ab,geben wir ab,gebt ihr ab,geben Sie ab
empfinden,empfinde,empfindest,empfindet,empfinden,empfindet,empfinden,empfand,empfandest,empfand,empfanden,empfandet,empfanden,habe empfunden,hast empfunden,hat empfunden,haben empfunden,habt empfunden,haben empfunden,hatte empfunden,hattest empfunden,hatte empfunden,hatten empfunden,hattet empfunden,hatten empfunden,werde empfinden,wirst empfinden,wird empfinden,werden empfinden,werdet empfinden,werden empfinden,werde empfunden haben,wirst empfunden haben,wird empfunden haben,werden empfunden haben,werdet empfunden haben,werden empfunden haben,empfinde,empfindest,empfinde,empfinden,empfindet,empfinden,empfände,empfändest,empfände,empfänden,empfändet,empfänden,habe empfunden,habest empfunden,habe empfunden,haben empfunden,habet empfunden,haben empfunden,hätte empfunden,hättest empfunden,hätte empfunden,hätten empfunden,hättet empfunden,hätten empfunden,werde empfinden,werdest empfinden,werde empfinden,werden empfinden,werdet empfinden,werden empfinden,werde empfunden haben,werdest empfunden haben,werde empfunden haben,werden empfunden haben,werdet empfunden haben,werden empfunden haben,empfinden,zu empfinden,empfunden haben,empfunden zu haben,empfindend,empfunden,empfinde du,empfinden wir,empfindet ihr,empfinden Sie
abwaschen,wasche ab,wäschst ab,wäscht ab,waschen ab,wascht ab,waschen ab,wusch ab,wuschst ab,wusch ab,wuschen ab,wuscht ab,wuschen ab,habe abgewaschen,hast abgewaschen,hat abgewaschen,haben abgewaschen,habt abgewaschen,haben abgewaschen,hatte abgewaschen,hattest abgewaschen,hatte abgewaschen,hatten abgewaschen,hattet abgewaschen,hatten abgewaschen,werde abwaschen,wirst abwaschen,wird abwaschen,werden abwaschen,werdet abwaschen,werden abwaschen,werde abgewaschen haben,wirst abgewaschen haben,wird abgewaschen haben,werden abgewaschen haben,werdet abgewaschen haben,werden abgewaschen haben,wasche ab,waschest ab,wasche ab,waschen ab,waschet ab,waschen ab,wüsche ab,wüschest ab,wüsche ab,wüschen ab,wüschet ab,wüschen ab,habe abgewaschen,habest abgewaschen,habe abgewaschen,haben abgewaschen,habet abgewaschen,haben abgewaschen,hätte abgewaschen,hättest abgewaschen,hätte abgewaschen,hätten abgewaschen,hättet abgewaschen,hätten abgewaschen,werde abwaschen,werdest abwaschen,werde abwaschen,werden abwaschen,werdet abwaschen,werden abwaschen,werde abgewaschen haben,werdest abgewaschen haben,werde abgewaschen haben,werden abgewaschen haben,werdet abgewaschen haben,werden abgewaschen haben,abwaschen,abzuwaschen,abgewaschen haben,abgewaschen zu haben,abwaschend,abgewaschen,wasche du ab,waschen wir ab,wascht ihr ab,waschen Sie ab
raten,rate,rätst,rät,raten,ratet,raten,riet,rietest,riet,rieten,rietet,rieten,habe geraten,hast geraten,hat geraten,haben geraten,habt geraten,haben geraten,hatte geraten,hattest geraten,hatte geraten,hatten geraten,hattet geraten,hatten geraten,werde raten,wirst raten,wird raten,werden raten,werdet raten,werden raten,werde geraten haben,wirst geraten haben,wird geraten haben,werden geraten haben,werdet geraten haben,werden geraten haben,rate,ratest,rate,raten,ratet,raten,riete,rietest,riete,rieten,rietet,rieten,habe geraten,habest geraten,habe geraten,haben geraten,habet geraten,haben geraten,hätte geraten,hättest geraten,hätte geraten,hätten geraten,hättet geraten,hätten geraten,werde raten,werdest raten,werde raten,werden raten,werdet raten,werden raten,werde geraten haben,werdest geraten haben,werde geraten haben,werden geraten haben,werdet geraten haben,werden geraten haben,raten,zu raten,geraten haben,geraten zu haben,ratend,geraten,rate du,raten wir,ratet ihr,raten Sie
